state_groups = {
    schema = {
        any_key = yes
        array = state
    }
	#The Great Motherland!
    mother_russia = {
		148
		213
		722
		842
		975
		976 
		974 
		973 
		972 
		971 
		970 
		969 
		968 
		967 
		966 
		965 
		150 
		216 
		920 
		215 
		977 
		871 
		214
		979 
		978 
		919 
		897 
		981 
		825 
		916 
		982 
		581 
		947 
		980 
		262 
		884 
		89 
		983 
		984 
		985 
		986 
		999 
		998 
		397 
		400 
		351 
		721 
		995 
		868 
		252 
		256 
		833 
		996 
		813 
		997 
		900 
		399 
		1004 
		1000 
		1003 
		573 
		398 
		1001 
		1002 
		651 
		729 
		954 
		249 
		835 
		993 
		582 
		652 
		251 
		994 
		406 
		407 
		401 
		990 
		829 
		957 
		959 
		958 
		955 
		956 
		960 
		961 
		962 
		964 
		963 
		236 
		953 
		951 
		217 
		238 
		873 
		849 
		218 
		846 
		848 
		850 
		234 
		852 
		853 
		854 
		950 
		245 
		265 
		239 
		952 
		255 
		991 
		938 
		250 
		992 
		912 
		988 
		264 
		867 
		244 
		872 
		922 
		195 
		924 
		1010 
		925 
		1009 
		1011 
		208 
		926 
		928 
		923 
		929 
		263 
		246 
		247 
		248 
		901 
		942 
		253 
		946 
		945 
		219 
		989 
		242 
		931 
		863 
		930 
		210 
		209 
		207 
		904 
		905 
		204 
		194 
		205 
		940 
		939 
		223 
		222 
		933 
		941 
		948 
		254 
		257 
		937 
		258 
		260 
		935 
		934 
		936 
		949 
		240 
		932 
		220 
		228 
		856 
		221 
		874 
		866 
		227 
		847 
		226 
		200 
		869 
		870 
		845 
		865 
		192 
		861 
		858 
		860 
		766 
		859 
		855 
		838 
		839 
		862 
		840 
		843 
		837 
		844 
		864 
		137 
		196 
		197 
		203 
		259 
		878 
		202 
		876 
		879 
		193 
		225 
		880 
		834 
		899 
		898 
		903 
		893 
		895 
		224 
		943 
		243 
		902 
		241 
		896 
		198 
		201 
		199 
		78 
		80 
		91 
		93 
		875 
		891 
		890 
		889 
		73 
		886 
		888 
		887 
		885 
		92 
		918 
		94 
		851 
		95 
		97 
		915 
		5 
		814 
		188 
		763 
		189 
		190 
		11 
		815 
		810 
		784 
		908 
		206 
		907 
		906 
		909 
		910 
		911 
		809 
		808 
		12 
		13 
		191 
		927 
		812 
		811
	}
}
